Uf,Ibge,Municipio,Atendimento Individual,Atendimento Odontológico,Procedimento,Visita Domiciliar,,Total
MS,500080,ANAURILÂNDIA,0,0,1,0,,14021
MS,500520,LADÁRIO,0,0,1,0,,
MS,500790,SIDROLÂNDIA,0,0,1,0,,
MS,500375,ELDORADO,0,0,1,0,,
MS,500290,CASSILÂNDIA,0,0,1,0,,
MS,500085,ANGÉLICA,0,0,1,0,,
MS,500348,DOIS IRMÃOS DO BURITI,0,0,1,0,,
MS,500124,ARAL MOREIRA,0,0,1,0,,
MS,500380,FÁTIMA DO SUL,0,0,1,0,,
MS,500260,CAMAPUÃ,0,0,2,0,,
MS,500470,IVINHEMA,0,0,2,0,,
MS,500795,TACURU,0,0,2,0,,
MS,500150,BANDEIRANTES,0,0,2,0,,
MS,500310,CORGUINHO,0,0,2,0,,
MS,500625,NOVO HORIZONTE DO SUL,0,0,2,0,,
MS,500240,CAARAPÓ,0,0,3,0,,
MS,500600,NOVA ALVORADA DO SUL,0,0,3,0,,
MS,500020,ÁGUA CLARA,0,0,3,0,,
MS,500793,SONORA,0,0,4,0,,
MS,500570,NAVIRAÍ,0,0,4,0,,
MS,500770,SETE QUEDAS,0,0,4,0,,
MS,500525,LAGUNA CARAPÃ,0,0,4,0,,
MS,500710,RIBAS DO RIO PARDO,0,0,5,0,,
MS,500660,PONTA PORÃ,0,0,7,0,,
MS,500500,JARDIM,0,0,8,0,,
MS,500769,SÃO GABRIEL DO OESTE,0,0,8,0,,
MS,500320,CORUMBÁ,0,0,13,0,,
MS,500070,ANASTÁCIO,0,0,14,0,,
MS,500450,ITAPORÃ,0,0,14,0,,
MS,500430,IGUATEMI,0,0,24,0,,
MS,500325,COSTA RICA,0,0,27,0,,
MS,500400,GLÓRIA DE DOURADOS,0,0,34,0,,
MS,500345,DEODÁPOLIS,0,0,39,0,,
MS,500230,BRASILÂNDIA,0,0,41,0,,
MS,500755,SANTA RITA DO PARDO,0,0,41,0,,
MS,500740,RIO VERDE DE MATO GROSSO,0,0,42,0,,
MS,500390,FIGUEIRÃO,0,0,44,0,,
MS,500560,MIRANDA,0,0,52,0,,
MS,500750,ROCHEDO,0,0,85,0,,
MS,500620,NOVA ANDRADINA,0,0,85,0,,
MS,500100,APARECIDA DO TABOADO,0,0,118,0,,
MS,500060,AMAMBAI,0,0,133,0,,
MS,500797,TAQUARUSSU,0,0,137,0,,
MS,500510,JATEÍ,0,0,151,0,,
MS,500200,BATAYPORÃ,0,0,155,0,,
MS,500460,ITAQUIRAÍ,0,0,166,0,,
MS,500190,BATAGUASSU,0,0,197,0,,
MS,500280,CARACOL,0,0,218,0,,
MS,500515,JUTI,0,0,261,0,,
MS,500690,PORTO MURTINHO,0,0,312,0,,
MS,500410,GUIA LOPES DA LAGUNA,0,0,319,0,,
MS,500350,DOURADINA,0,0,345,0,,
MS,500090,ANTÔNIO JOÃO,0,0,373,0,,
MS,500295,CHAPADÃO DO SUL,0,0,389,0,,
MS,500830,TRÊS LAGOAS,0,0,435,0,,
MS,500110,AQUIDAUANA,0,0,512,0,,
MS,500370,DOURADOS,0,0,577,0,,
MS,500720,RIO BRILHANTE,0,0,615,0,,
MS,500730,RIO NEGRO,0,0,624,0,,
MS,500330,COXIM,0,0,640,0,,
MS,500800,TERENOS,0,0,759,0,,
MS,500270,CAMPO GRANDE,0,0,5.956,0,,
