Uf,Ibge,Municipio,Atendimento Individual,Atendimento Odontológico,Procedimento,Visita Domiciliar,,Total
MS,500795,TACURU,0,0,1,0,,19079
MS,500190,BATAGUASSU,0,0,1,0,,
MS,500710,RIBAS DO RIO PARDO,0,0,1,0,,
MS,500625,NOVO HORIZONTE DO SUL,0,0,1,0,,
MS,500085,ANGÉLICA,0,0,1,0,,
MS,500580,NIOAQUE,0,0,1,0,,
MS,500080,ANAURILÂNDIA,0,0,1,0,,
MS,500100,APARECIDA DO TABOADO,0,0,1,0,,
MS,500560,MIRANDA,0,0,1,0,,
MS,500460,ITAQUIRAÍ,0,0,2,0,,
MS,500410,GUIA LOPES DA LAGUNA,0,0,2,0,,
MS,500480,JAPORÃ,0,0,2,0,,
MS,500345,DEODÁPOLIS,0,0,2,0,,
MS,500520,LADÁRIO,0,0,2,0,,
MS,500790,SIDROLÂNDIA,0,0,2,0,,
MS,500627,PARAÍSO DAS ÁGUAS,0,0,3,0,,
MS,500470,IVINHEMA,0,0,3,0,,
MS,500380,FÁTIMA DO SUL,0,0,4,0,,
MS,500770,SETE QUEDAS,0,0,5,0,,
MS,500769,SÃO GABRIEL DO OESTE,0,0,6,0,,
MS,500755,SANTA RITA DO PARDO,0,0,6,0,,
MS,500490,JARAGUARI,0,0,6,0,,
MS,500430,IGUATEMI,0,0,7,0,,
MS,500315,CORONEL SAPUCAIA,0,0,7,0,,
MS,500568,MUNDO NOVO,0,0,7,0,,
MS,500570,NAVIRAÍ,0,0,11,0,,
MS,500660,PONTA PORÃ,0,0,11,0,,
MS,500210,BELA VISTA,0,0,11,0,,
MS,500635,PARANHOS,0,0,13,0,,
MS,500124,ARAL MOREIRA,0,0,15,0,,
MS,500215,BODOQUENA,0,0,16,0,,
MS,500200,BATAYPORÃ,0,0,17,0,,
MS,500440,INOCÊNCIA,0,0,19,0,,
MS,500240,CAARAPÓ,0,0,29,0,,
MS,500500,JARDIM,0,0,32,0,,
MS,500740,RIO VERDE DE MATO GROSSO,0,0,33,0,,
MS,500730,RIO NEGRO,0,0,38,0,,
MS,500020,ÁGUA CLARA,0,0,44,0,,
MS,500060,AMAMBAI,0,0,48,0,,
MS,500400,GLÓRIA DE DOURADOS,0,0,59,0,,
MS,500797,TAQUARUSSU,0,0,76,0,,
MS,500220,BONITO,0,0,78,0,,
MS,500025,ALCINÓPOLIS,0,0,82,0,,
MS,500150,BANDEIRANTES,0,0,88,0,,
MS,500793,SONORA,0,0,97,0,,
MS,500330,COXIM,0,0,118,0,,
MS,500830,TRÊS LAGOAS,0,0,123,0,,
MS,500620,NOVA ANDRADINA,0,0,127,0,,
MS,500600,NOVA ALVORADA DO SUL,0,0,146,0,,
MS,500325,COSTA RICA,0,0,152,0,,
MS,500280,CARACOL,0,0,217,0,,
MS,500110,AQUIDAUANA,0,0,286,0,,
MS,500290,CASSILÂNDIA,0,0,325,0,,
MS,500295,CHAPADÃO DO SUL,0,0,328,0,,
MS,500230,BRASILÂNDIA,0,0,433,0,,
MS,500090,ANTÔNIO JOÃO,0,0,542,0,,
MS,500070,ANASTÁCIO,0,0,640,0,,
MS,500720,RIO BRILHANTE,0,0,741,0,,
MS,500390,FIGUEIRÃO,0,0,771,0,,
MS,500525,LAGUNA CARAPÃ,0,0,830,0,,
MS,500370,DOURADOS,0,0,847,0,,
MS,500690,PORTO MURTINHO,0,0,1.223,0,,
MS,500800,TERENOS,0,0,1.313,0,,
MS,500320,CORUMBÁ,0,0,1.384,0,,
MS,500270,CAMPO GRANDE,0,0,7.641,0,,
